id,domain,platform,role,expected,method,weight,weight_reason,status,evidence,defect_ids,limitation
UX-01,UX,SHARED,все,Есть доступный путь восстановления пароля,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
UX-02,UX,SHARED,все,"Селекты открываются, сохраняют выбор и закрываются в веб-компоненте",CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
UX-03,UX,SHARED,все,Невалидные поля регистрации дают понятную ошибку,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
UX-04,UX,SHARED,все,Гостевой каталог доступен без регистрации,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
CORE-01,CORE,SHARED,все,Регистрация и вход работают на изолированной БД,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-02,CORE,SHARED,все,Сервер изолирует чужие заказы,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-03,CORE,SHARED,все,Заказ сохраняется и повторно читается с согласованным итогом,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-04,CORE,SHARED,все,Повтор заказа с тем же ключом и содержимым не создаёт дубль,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-05,CORE,SHARED,все,Повтор ключа заказа с изменённым содержимым отклоняется,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-06,CORE,SHARED,все,Каталог REAL API возвращает категории и товары,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-07,CORE,SHARED,все,Мастер получает только назначенную заявку и защищённые контакты,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
CORE-08,CORE,SHARED,все,Завершённая заявка принимает один отзыв,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
CORE-09,CORE,SHARED,все,Изображение поиска соответствует объявленному режиму,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
CORE-10,CORE,SHARED,все,Локальная корзина сохраняется при перезагрузке web,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
LOY-01,LOY,SHARED,все,Коммерческие правила утверждены владельцем,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-02,LOY,SHARED,все,"Анкета, согласия и статусы ограничивают доступ",CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-03,LOY,SHARED,все,Обычная покупка и акция x3 считаются целыми minor units,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-04,LOY,SHARED,все,Повтор чека не даёт повторного начисления; изменённый конфликтует,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-05,LOY,SHARED,все,Частичный/полный возврат корректно сторнирует бонусы,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-06,LOY,SHARED,все,Параллельное получение наград не перерасходует баланс,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-07,LOY,SHARED,все,Pending переходит в available в заданный срок,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-08,LOY,SHARED,все,QR не раскрывает DB ID/PII и сам не разрешает списание,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-09,LOY,SHARED,все,Уровни используют rolling period и возвраты,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
LOY-10,LOY,SHARED,все,Нулевые/малые суммы и исключения считают точно,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-11,LOY,SHARED,все,Возврат и списание одновременно сохраняют инвариант баланса,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-12,LOY,SHARED,все,События не по порядку согласуются после повторной доставки,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-13,LOY,SHARED,все,POS/1C staging проходит сквозную сверку,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-14,LOY,SHARED,все,Правила и условия доступны перед согласием в UI,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-15,LOY,SHARED,все,Конфигурация ставки применяется согласно опубликованным правилам,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
LOY-16,LOY,SHARED,все,Отмена награды возвращает бонусы один раз,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
API-01,API,SHARED,все,Цена заказа получается из доверенного серверного каталога,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
API-02,API,SHARED,все,Сервер проверяет филиал и актуальное наличие заказа,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
API-03,API,SHARED,все,Каталог не допускает записи через прокси,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
API-04,API,SHARED,все,Telegram retry/outbox корректен с изолированным транспортом,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
API-05,API,SHARED,все,REAL API health доступен без секретов,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
API-06,API,SHARED,все,Контракт ошибок не раскрывает внутренние SQL детали,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
API-07,API,SHARED,все,Доставка Telegram и webhook работают в staging,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
REL-01,REL,SHARED,все,Typecheck клиента и сервера проходит,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
REL-02,REL,SHARED,все,Lint проходит,CODE REVIEW / LOCAL API,1,Небольшая полировка,NOT TESTED,,,
REL-03,REL,SHARED,все,Web export компилируется,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
REL-04,REL,SHARED,все,Android JS export компилируется,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
REL-05,REL,SHARED,все,iOS JS export компилируется,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,,,
SEC-01,SEC,SHARED,все,Регистрация не позволяет самоназначить admin по непроверенному телефону,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
SEC-02,SEC,SHARED,все,Профиль не позволяет получить admin сменой непроверенного телефона,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
SEC-03,SEC,SHARED,все,Сессии можно отозвать после выхода/смены пароля,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
SEC-04,SEC,SHARED,все,Удаление аккаунта реализовано в UI/API,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
SEC-05,SEC,SHARED,все,Политика приватности доступна в приложении,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
SEC-06,SEC,SHARED,все,Пароли хешируются с солью; проверка подписи/истечения отклоняет подмену,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,NOT TESTED,,,
