id,screen,source,role,access,required_states,web_observed,android,ios,evidence,defects,not_tested
S01,/choice,app/(auth)/choice.tsx,гость,redirect welcome,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-choice.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S02,/login,app/(auth)/login.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: system dark web,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-login.png;../2026-09-18-remediation/evidence/screenshots/extra-login-dark.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S03,/register,app/(auth)/register.tsx,гость: customer/plumber,"public, consent для plumber",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: invalid empty,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-register.png;../2026-09-18-remediation/evidence/screenshots/register-validation.png;../2026-09-18-remediation/evidence/screenshots/guest-register-bottom.png;../2026-09-18-remediation/evidence/screenshots/register-validation-bottom.png,"D07,D08,D14","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS. Gallery показывает customer; plumber contract/consent проверены серверными fixtures, полная native registration не проверена."
S04,/welcome,app/(auth)/welcome.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-welcome.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S05,/cart,app/(tabs)/cart/index.tsx,все,локальная корзина; checkout требует auth,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-cart.png;../2026-09-18-remediation/evidence/screenshots/customer-cart-populated.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S06,/catalog,app/(tabs)/catalog/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; full2365 public capture; real categories/ID gateway,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-catalog.png;evidence/visual.json;evidence/gateway-real-source.json,D12,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S07,/leads,app/(tabs)/leads/index.tsx,approved plumber,подтверждённая анкета,обычное; loading; empty; error; retry; доступ; сохранение где применимо,plumber: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/plumber-leads.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S08,/maps,app/(tabs)/maps/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: 430x932; guest: 320x568 six branches scroll; followup320/390/430 responsive popup; real tiles; offline/retry,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-maps.png;../2026-09-18-remediation/evidence/screenshots/large-map.png;../2026-09-18-remediation/evidence/screenshots/extra-map-selector-compact.png;../2026-09-18-remediation/evidence/screenshots/guest-maps-bottom.png;../2026-09-18-remediation/evidence/screenshots/large-map-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-map-selector-compact-bottom.png;evidence/visual.json;evidence/screenshots/map-320.png,"D09,D10","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS. D10 popup clipping остаётся. D10 native acceptance не закрыт."
S09,/orders,app/(tabs)/orders/index.tsx,покупатель/мастер,auth; гость видит призыв войти,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-orders.png;../2026-09-18-remediation/evidence/screenshots/customer-orders.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S10,/plumber-home,app/(tabs)/plumber-home/index.tsx,approved plumber,пять профессиональных tabs,обычное; loading; empty; error; retry; доступ; сохранение где применимо,plumber: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/plumber-plumber-home.png;../2026-09-18-remediation/evidence/screenshots/plumber-plumber-home-bottom.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S11,/profile,app/(tabs)/profile/index.tsx,все,auth показывает профиль; guest заглушка,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default; plumber: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-profile.png;../2026-09-18-remediation/evidence/screenshots/customer-profile.png;../2026-09-18-remediation/evidence/screenshots/plumber-profile.png;../2026-09-18-remediation/evidence/screenshots/plumber-profile-bottom.png,"D06,D07","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S12,/admin,app/admin/index.tsx,admin,user.isAdmin + server hasAdminAccess,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; admin: default; admin: Анкеты; admin: Заявки; admin: Чеки; admin: Правила; admin: localized experience,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-admin.png;../2026-09-18-remediation/evidence/screenshots/admin-overview.png;../2026-09-18-remediation/evidence/screenshots/admin-applications.png;../2026-09-18-remediation/evidence/screenshots/admin-leads.png;../2026-09-18-remediation/evidence/screenshots/admin-receipts.png;../2026-09-18-remediation/evidence/screenshots/admin-rules.png;../2026-09-18-remediation/evidence/screenshots/extra-experience-labels.png;../2026-09-18-remediation/evidence/screenshots/admin-overview-bottom.png;../2026-09-18-remediation/evidence/screenshots/admin-applications-bottom.png;../2026-09-18-remediation/evidence/screenshots/admin-receipts-bottom.png;../2026-09-18-remediation/evidence/screenshots/admin-rules-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-experience-labels-bottom.png,"D01,D15","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S13,/category/[id],app/category/[id].tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: 320x568; guest: add toast; guest: sort selector open; guest: sort selected; guest: empty search; guest: search result; full2365 public capture; real categories/ID gateway,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-category-all-products.png;../2026-09-18-remediation/evidence/screenshots/compact-category.png;../2026-09-18-remediation/evidence/screenshots/extra-add-toast.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-open.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-selected.png;../2026-09-18-remediation/evidence/screenshots/extra-category-empty.png;../2026-09-18-remediation/evidence/screenshots/extra-category-search.png;../2026-09-18-remediation/evidence/screenshots/guest-category-all-products-bottom.png;../2026-09-18-remediation/evidence/screenshots/compact-category-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-add-toast-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-open-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-selected-bottom.png;evidence/visual.json;evidence/gateway-real-source.json,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S14,/checkout,app/checkout/index.tsx,покупатель/approved plumber,auth; mode=reservation требует approved,обычное; loading; empty; error; retry; доступ; сохранение где применимо,customer: default; customer: delivery,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/customer-checkout-pickup.png;../2026-09-18-remediation/evidence/screenshots/customer-checkout-delivery.png;../2026-09-18-remediation/evidence/screenshots/flow-select-search.png;../2026-09-18-remediation/evidence/screenshots/flow-trusted-quote.png;../2026-09-18-remediation/evidence/screenshots/flow-lost-response.png;../2026-09-18-remediation/evidence/ui-flows.json,"D02,D03","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S15,/find-plumber,app/find-plumber/index.tsx,покупатель,auth; гость видит prompt,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default; customer: expanded form,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-find-plumber.png;../2026-09-18-remediation/evidence/screenshots/customer-find-plumber.png;../2026-09-18-remediation/evidence/screenshots/extra-find-plumber-form.png;../2026-09-18-remediation/evidence/screenshots/extra-find-plumber-form-bottom.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S16,/image-search,app/image-search/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/guest-image-search.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S17,/,app/index.tsx,все,initial auth restore → welcome/catalog/plumber-home,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: root redirect,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/extra-root.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S18,/orders/[id],app/orders/[id].tsx,владелец заказа,auth+ownership,обычное; loading; empty; error; retry; доступ; сохранение где применимо,customer: default,BLOCKED: no device; old engineering build5b8ea84 lacks followup changes,BLOCKED: no Xcode/archive/signing/device,../2026-09-18-remediation/evidence/screenshots/customer-orders-f50ad330-24d7-4a68-b497-f00935a6a7ad.png;../2026-09-18-remediation/evidence/screenshots/customer-orders-f50ad330-24d7-4a68-b497-f00935a6a7ad-bottom.png;../2026-09-18-remediation/evidence/screenshots/flow-order-confirmed.png;../2026-09-18-remediation/evidence/screenshots/flow-order-reopened.png,D02,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
