id,domain,platform,role,expected,method,weight,weight_reason,status,evidence,defect_ids,limitation
UX-01,UX,SHARED,все,Есть доступный путь восстановления пароля,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/regression-final.log; evidence/recovery-ui.json,,По требованию владельца SMS отменён. Реальный web путь заявки/админки/одноразовой ссылки/нового пароля проверен на изолированных аккаунтах. Проверка личности сотрудником моделируется; утверждение и эксплуатация поддержки — EX-05 BLOCKED.
UX-02,UX,WEB,все,"Селекты открываются, сохраняют выбор и закрываются в веб-компоненте",CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,../2026-09-18-remediation/evidence/ui-flows.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
UX-03,UX,WEB,все,Невалидные поля регистрации дают понятную ошибку,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,../2026-09-18-remediation/evidence/gallery.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
UX-04,UX,WEB,все,Гостевой каталог доступен без регистрации,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,../2026-09-18-remediation/evidence/gallery.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-01,CORE,SHARED,гость/покупатель; сантехник для заявок,Регистрация и вход работают на изолированной БД,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,../2026-09-18-remediation/evidence/regression-suite.log; ../2026-09-18-remediation/evidence/http-security.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-02,CORE,SHARED,гость/покупатель; сантехник для заявок,Сервер изолирует чужие заказы,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,../2026-09-18-remediation/evidence/http-security.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-03,CORE,SHARED,гость/покупатель; сантехник для заявок,Заказ сохраняется и повторно читается с согласованным итогом,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,../2026-09-18-remediation/evidence/regression-suite.log; ../2026-09-18-remediation/evidence/ui-flows.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-04,CORE,SHARED,гость/покупатель; сантехник для заявок,Повтор заказа с тем же ключом и содержимым не создаёт дубль,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,../2026-09-18-remediation/evidence/regression-suite.log; ../2026-09-18-remediation/evidence/http-security.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-05,CORE,SHARED,гость/покупатель; сантехник для заявок,Повтор ключа заказа с изменённым содержимым отклоняется,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,../2026-09-18-remediation/evidence/regression-suite.log; ../2026-09-18-remediation/evidence/http-security.json,D05,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-06,CORE,SHARED,гость/покупатель; сантехник для заявок,Каталог REAL API возвращает категории и товары,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/storefront-catalog.json; evidence/native-storefront-catalog.json,D12,"Источник исправлен: та жеDATABASE_URL сайта, SELECT-only capture845 products/2147 variants; local actual gateway/SQL иAndroid replay. СтарыйBazaar snapshot не соответствует витрине. Наличие/POS и deployment отдельно."
