id,screen,source,role,access,required_states,web_observed,android,ios,evidence,defects,not_tested
S01,/choice,app/(auth)/choice.tsx,гость,redirect welcome,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,NOT TESTED: screen-specific full matrix not completed on standalone release,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-choice.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S02,/login,app/(auth)/login.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: system dark web,"PARTIAL VERIFIED: Redmi Release QA v1–v8; Телефон/пароль, login customer/admin/master, клавиатура, возврат после logout; production a13a32b normal path with live HTTPS API PASS (evidence/native-production-release.json)",DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-login.png;../2026-09-18-remediation/evidence/screenshots/extra-login-dark.png;evidence/screenshots/native-register-no-code.png;evidence/native-final-pass.json,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S03,/register,app/(auth)/register.tsx,гость: customer/plumber,"public, consent для plumber",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: invalid empty,"PARTIAL VERIFIED: Redmi Release QA v1–v8; Customer register безSMS, посимвольный ввод, успешный профиль",DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-register.png;../2026-09-18-remediation/evidence/screenshots/register-validation.png;../2026-09-18-remediation/evidence/screenshots/guest-register-bottom.png;../2026-09-18-remediation/evidence/screenshots/register-validation-bottom.png;evidence/screenshots/native-register-no-code.png;evidence/native-final-pass.json,"D07,D08,D14","Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S04,/welcome,app/(auth)/welcome.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,PARTIAL VERIFIED: Redmi Release QA v1–v8; Первый запуск QA и возврат после logout,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-welcome.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S05,/cart,app/(tabs)/cart/index.tsx,все,локальная корзина; checkout требует auth,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default,"PARTIAL VERIFIED: Redmi Release QA v1–v8; Добавление товара, quantity, checkout; empty после принятого заказа",DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-cart.png;../2026-09-18-remediation/evidence/screenshots/customer-cart-populated.png;evidence/screenshots/final-cart-empty.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S06,/catalog,app/(tabs)/catalog/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; full2365 public capture; real categories/ID gateway,PARTIAL VERIFIED: Redmi Release QA v1–v8; Категории/переход/табнавигация,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-catalog.png;../2026-09-18-followup/evidence/visual.json;../2026-09-18-followup/evidence/gateway-real-source.json;evidence/screenshots/all-products-placeholder-after.png,D12,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S07,/leads,app/(tabs)/leads/index.tsx,approved plumber,подтверждённая анкета,обычное; loading; empty; error; retry; доступ; сохранение где применимо,plumber: default,PARTIAL VERIFIED: Redmi Release QA v1–v8; Назначенный мастер: скрытые контакты→accept→work→complete,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/plumber-leads.png;evidence/screenshots/native-master-completed.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S08,/maps,app/(tabs)/maps/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: 430x932; guest: 320x568 six branches scroll; followup320/390/430 responsive popup; real tiles; offline/retry,PARTIAL VERIFIED: Redmi Release QA v1–v8; Tiles/popup/attribution/branchselect; offlinefallback/retry; внешний2GIS,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-maps.png;../2026-09-18-remediation/evidence/screenshots/large-map.png;../2026-09-18-remediation/evidence/screenshots/extra-map-selector-compact.png;../2026-09-18-remediation/evidence/screenshots/guest-maps-bottom.png;../2026-09-18-remediation/evidence/screenshots/large-map-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-map-selector-compact-bottom.png;../2026-09-18-followup/evidence/visual.json;../2026-09-18-followup/evidence/screenshots/map-320.png;evidence/screenshots/map-return-from-external.png,"D09,D10","Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S09,/orders,app/(tabs)/orders/index.tsx,покупатель/мастер,auth; гость видит призыв войти,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default,PARTIAL VERIFIED: Redmi Release QA v1–v8; История pickup/delivery и повторное открытие,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-orders.png;../2026-09-18-remediation/evidence/screenshots/customer-orders.png;evidence/screenshots/final-order-history.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S10,/plumber-home,app/(tabs)/plumber-home/index.tsx,approved plumber,пять профессиональных tabs,обычное; loading; empty; error; retry; доступ; сохранение где применимо,plumber: default,NOT TESTED: screen-specific full matrix not completed on standalone release,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/plumber-plumber-home.png;../2026-09-18-remediation/evidence/screenshots/plumber-plumber-home-bottom.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S11,/profile,app/(tabs)/profile/index.tsx,все,auth показывает профиль; guest заглушка,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default; plumber: default,PARTIAL VERIFIED: Redmi Release QA v1–v8; Customer edit/login/logout; adminкарточка,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-profile.png;../2026-09-18-remediation/evidence/screenshots/customer-profile.png;../2026-09-18-remediation/evidence/screenshots/plumber-profile.png;../2026-09-18-remediation/evidence/screenshots/plumber-profile-bottom.png;evidence/screenshots/native-profile-after-update.png,"D06,D07","Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S12,/admin,app/admin/index.tsx,admin,user.isAdmin + server hasAdminAccess,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; admin: default; admin: Анкеты; admin: Заявки; admin: Чеки; admin: Правила; admin: localized experience,PARTIAL VERIFIED: Redmi Release QA v1–v8; Adminoverview/recovery/leads/orderlist/details,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-admin.png;../2026-09-18-remediation/evidence/screenshots/admin-overview.png;../2026-09-18-remediation/evidence/screenshots/admin-applications.png;../2026-09-18-remediation/evidence/screenshots/admin-leads.png;../2026-09-18-remediation/evidence/screenshots/admin-receipts.png;../2026-09-18-remediation/evidence/screenshots/admin-rules.png;../2026-09-18-remediation/evidence/screenshots/extra-experience-labels.png;../2026-09-18-remediation/evidence/screenshots/admin-overview-bottom.png;../2026-09-18-remediation/evidence/screenshots/admin-applications-bottom.png;../2026-09-18-remediation/evidence/screenshots/admin-receipts-bottom.png;../2026-09-18-remediation/evidence/screenshots/admin-rules-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-experience-labels-bottom.png;evidence/screenshots/native-admin-overview.png,"D01,D15","Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S13,/category/[id],app/category/[id].tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: 320x568; guest: add toast; guest: sort selector open; guest: sort selected; guest: empty search; guest: search result; full2365 public capture; real categories/ID gateway,"PARTIAL VERIFIED: Redmi Release QA v1–v8; Каталог845active products (new catalog) replay, реальныеphotoURLs; squareplaceholder; production a13a32b normal path with live HTTPS API PASS (evidence/native-production-release.json)",DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-category-all-products.png;../2026-09-18-remediation/evidence/screenshots/compact-category.png;../2026-09-18-remediation/evidence/screenshots/extra-add-toast.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-open.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-selected.png;../2026-09-18-remediation/evidence/screenshots/extra-category-empty.png;../2026-09-18-remediation/evidence/screenshots/extra-category-search.png;../2026-09-18-remediation/evidence/screenshots/guest-category-all-products-bottom.png;../2026-09-18-remediation/evidence/screenshots/compact-category-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-add-toast-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-open-bottom.png;../2026-09-18-remediation/evidence/screenshots/extra-sort-selected-bottom.png;../2026-09-18-followup/evidence/visual.json;../2026-09-18-followup/evidence/gateway-real-source.json;evidence/screenshots/all-products-photo-after.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S14,/checkout,app/checkout/index.tsx,покупатель/approved plumber,auth; mode=reservation требует approved,обычное; loading; empty; error; retry; доступ; сохранение где применимо,customer: default; customer: delivery,PARTIAL VERIFIED: Redmi Release QA v1–v8; Pickup иdelivery; потеря201послеCOMMIT/retry;150%font/safearea,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/customer-checkout-pickup.png;../2026-09-18-remediation/evidence/screenshots/customer-checkout-delivery.png;../2026-09-18-remediation/evidence/screenshots/flow-select-search.png;../2026-09-18-remediation/evidence/screenshots/flow-trusted-quote.png;../2026-09-18-remediation/evidence/screenshots/flow-lost-response.png;../2026-09-18-remediation/evidence/ui-flows.json;evidence/screenshots/font7-delivery-quote.png,"D02,D03","Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
S15,/find-plumber,app/find-plumber/index.tsx,покупатель,auth; гость видит prompt,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default; customer: expanded form,PARTIAL VERIFIED: Redmi Release QA v1–v8; Customer creation/list; adminassignment; masterworkflow,DEFERRED BY OWNER: вне текущего Android-выпуска; прежняя нативная проверка не выполнена,../2026-09-18-remediation/evidence/screenshots/guest-find-plumber.png;../2026-09-18-remediation/evidence/screenshots/customer-find-plumber.png;../2026-09-18-remediation/evidence/screenshots/extra-find-plumber-form.png;../2026-09-18-remediation/evidence/screenshots/extra-find-plumber-form-bottom.png;evidence/screenshots/native-service-list.png,,"Полная матрица loading/empty/error/retry/access для всех ролей, второй размер, TalkBack и все native permissions/gestures не выводятся из частичного пути. iOS отложен владельцем."
