id,screen,source,role,access,required_states,web_observed,android,ios,evidence,defects,not_tested
S01,/choice,app/(auth)/choice.tsx,гость,redirect welcome,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-choice.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S02,/login,app/(auth)/login.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: system dark web,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-login.png;evidence/screenshots/extra-login-dark.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S03,/register,app/(auth)/register.tsx,гость: customer/plumber,"public, consent для plumber",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: invalid empty,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-register.png;evidence/screenshots/register-validation.png;evidence/screenshots/guest-register-bottom.png;evidence/screenshots/register-validation-bottom.png,"D07,D08,D14","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS. Gallery показывает customer; plumber contract/consent проверены серверными fixtures, полная native registration не проверена."
S04,/welcome,app/(auth)/welcome.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-welcome.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S05,/cart,app/(tabs)/cart/index.tsx,все,локальная корзина; checkout требует auth,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-cart.png;evidence/screenshots/customer-cart-populated.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S06,/catalog,app/(tabs)/catalog/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-catalog.png,D12,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S07,/leads,app/(tabs)/leads/index.tsx,approved plumber,подтверждённая анкета,обычное; loading; empty; error; retry; доступ; сохранение где применимо,plumber: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/plumber-leads.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S08,/maps,app/(tabs)/maps/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: 430x932; guest: 320x568 six branches scroll,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-maps.png;evidence/screenshots/large-map.png;evidence/screenshots/extra-map-selector-compact.png;evidence/screenshots/guest-maps-bottom.png;evidence/screenshots/large-map-bottom.png;evidence/screenshots/extra-map-selector-compact-bottom.png,"D09,D10","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS. D10 popup clipping остаётся."
S09,/orders,app/(tabs)/orders/index.tsx,покупатель/мастер,auth; гость видит призыв войти,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-orders.png;evidence/screenshots/customer-orders.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S10,/plumber-home,app/(tabs)/plumber-home/index.tsx,approved plumber,пять профессиональных tabs,обычное; loading; empty; error; retry; доступ; сохранение где применимо,plumber: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/plumber-plumber-home.png;evidence/screenshots/plumber-plumber-home-bottom.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S11,/profile,app/(tabs)/profile/index.tsx,все,auth показывает профиль; guest заглушка,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default; plumber: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-profile.png;evidence/screenshots/customer-profile.png;evidence/screenshots/plumber-profile.png;evidence/screenshots/plumber-profile-bottom.png,"D06,D07","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S12,/admin,app/admin/index.tsx,admin,user.isAdmin + server hasAdminAccess,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; admin: default; admin: Анкеты; admin: Заявки; admin: Чеки; admin: Правила; admin: localized experience,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-admin.png;evidence/screenshots/admin-overview.png;evidence/screenshots/admin-applications.png;evidence/screenshots/admin-leads.png;evidence/screenshots/admin-receipts.png;evidence/screenshots/admin-rules.png;evidence/screenshots/extra-experience-labels.png;evidence/screenshots/admin-overview-bottom.png;evidence/screenshots/admin-applications-bottom.png;evidence/screenshots/admin-receipts-bottom.png;evidence/screenshots/admin-rules-bottom.png;evidence/screenshots/extra-experience-labels-bottom.png,"D01,D15","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S13,/category/[id],app/category/[id].tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; guest: 320x568; guest: add toast; guest: sort selector open; guest: sort selected; guest: empty search; guest: search result,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-category-all-products.png;evidence/screenshots/compact-category.png;evidence/screenshots/extra-add-toast.png;evidence/screenshots/extra-sort-open.png;evidence/screenshots/extra-sort-selected.png;evidence/screenshots/extra-category-empty.png;evidence/screenshots/extra-category-search.png;evidence/screenshots/guest-category-all-products-bottom.png;evidence/screenshots/compact-category-bottom.png;evidence/screenshots/extra-add-toast-bottom.png;evidence/screenshots/extra-sort-open-bottom.png;evidence/screenshots/extra-sort-selected-bottom.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S14,/checkout,app/checkout/index.tsx,покупатель/approved plumber,auth; mode=reservation требует approved,обычное; loading; empty; error; retry; доступ; сохранение где применимо,customer: default; customer: delivery,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/customer-checkout-pickup.png;evidence/screenshots/customer-checkout-delivery.png;evidence/screenshots/flow-select-search.png;evidence/screenshots/flow-trusted-quote.png;evidence/screenshots/flow-lost-response.png;evidence/ui-flows.json,"D02,D03","Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S15,/find-plumber,app/find-plumber/index.tsx,покупатель,auth; гость видит prompt,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default; customer: default; customer: expanded form,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-find-plumber.png;evidence/screenshots/customer-find-plumber.png;evidence/screenshots/extra-find-plumber-form.png;evidence/screenshots/extra-find-plumber-form-bottom.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S16,/image-search,app/image-search/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/guest-image-search.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S17,/,app/index.tsx,все,initial auth restore → welcome/catalog/plumber-home,обычное; loading; empty; error; retry; доступ; сохранение где применимо,guest: root redirect,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/extra-root.png,,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
S18,/orders/[id],app/orders/[id].tsx,владелец заказа,auth+ownership,обычное; loading; empty; error; retry; доступ; сохранение где применимо,customer: default,BLOCKED: engineering release built; no install/device,BLOCKED: no archive/signing/device,evidence/screenshots/customer-orders-f50ad330-24d7-4a68-b497-f00935a6a7ad.png;evidence/screenshots/customer-orders-f50ad330-24d7-4a68-b497-f00935a6a7ad-bottom.png;evidence/screenshots/flow-order-confirmed.png;evidence/screenshots/flow-order-reopened.png,D02,"Не засчитаны native release/physical, клавиатура/Back/жесты/большой шрифт/permissions. Непоказанные роли/состояния не PASS."
