id,domain,platform,role,expected,method,weight,weight_reason,status,evidence,defect_ids,limitation
UX-01,UX,SHARED,все,Есть доступный путь восстановления пароля,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,BLOCKED,app/(auth)/login.tsx:93; src/lib/whatsapp.ts,,Поддержка через WhatsApp есть; reset-процесс и аккаунт поддержки не проверены.
UX-02,UX,WEB,все,"Селекты открываются, сохраняют выбор и закрываются в веб-компоненте",CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,NOT TESTED,VISUAL_REVIEW.md,,"Найдены chips/radio/segmented controls, а не dropdown. Проверены выбор способа и филиала; полный цикл всех контролов не закрыт."
UX-03,UX,WEB,все,Невалидные поля регистрации дают понятную ошибку,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/gallery.json,,"Только общие web сценарии валидации/гостевого доступа, native end-to-end отдельно BLOCKED."
UX-04,UX,WEB,все,Гостевой каталог доступен без регистрации,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/gallery.json,,"Только общие web сценарии валидации/гостевого доступа, native end-to-end отдельно BLOCKED."
CORE-01,CORE,SHARED,гость/покупатель; сантехник для заявок,Регистрация и вход работают на изолированной БД,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/api-negative-results.json; evidence/orders-integration.log,,Только backend LOCAL API; транспорт Telegram MOCK; frontend envelope оценивается CORE-11.
CORE-02,CORE,SHARED,гость/покупатель; сантехник для заявок,Сервер изолирует чужие заказы,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/api-negative-results.json; evidence/orders-integration.log,,Только backend LOCAL API; транспорт Telegram MOCK; frontend envelope оценивается CORE-11.
CORE-03,CORE,SHARED,гость/покупатель; сантехник для заявок,Заказ сохраняется и повторно читается с согласованным итогом,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/api-negative-results.json; evidence/orders-integration.log,,Только backend LOCAL API; транспорт Telegram MOCK; frontend envelope оценивается CORE-11.
CORE-04,CORE,SHARED,гость/покупатель; сантехник для заявок,Повтор заказа с тем же ключом и содержимым не создаёт дубль,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/api-negative-results.json; evidence/orders-integration.log,,Только backend LOCAL API; транспорт Telegram MOCK; frontend envelope оценивается CORE-11.
CORE-05,CORE,SHARED,гость/покупатель; сантехник для заявок,Повтор ключа заказа с изменённым содержимым отклоняется,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,FAIL,evidence/api-negative-results.json,D05,
CORE-06,CORE,SHARED,гость/покупатель; сантехник для заявок,Каталог REAL API возвращает категории и товары,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,FAIL,evidence/real-api-summary.json,D12,/products200; /categories404. UI имеет fallback; полная поисковая интеграция не доказана.
CORE-07,CORE,SHARED,гость/покупатель; сантехник для заявок,Мастер получает только назначенную заявку и защищённые контакты,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-integration.log; scripts/check-loyalty.ts:224,,Функции домена на реальном локальном PostgreSQL; native UX отдельно BLOCKED.
CORE-08,CORE,SHARED,гость/покупатель; сантехник для заявок,Завершённая заявка принимает один отзыв,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/loyalty-integration.log; scripts/check-loyalty.ts:224,,Функции домена на реальном локальном PostgreSQL; native UX отдельно BLOCKED.
CORE-09,CORE,SHARED,гость/покупатель; сантехник для заявок,Изображение поиска соответствует объявленному режиму,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,src/lib/api/imageSearch.ts:13; app/image-search/index.tsx:27,,CODE REVIEW: отключённый автопоиск честно описан как fallback к менеджеру. Камера и отправка WhatsApp не закрыты этим критерием.
CORE-10,CORE,WEB,гость/покупатель; сантехник для заявок,Локальная корзина сохраняется при перезагрузке web,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/gallery-extra.json:extra-cart-restored,,WEB AsyncStorage only; не доказательство process death на native.
LOY-01,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Коммерческие правила утверждены владельцем,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,BLOCKED,README.md:Important pre-production decisions,D08,Нет утверждённого коммерческого документа; расчётные тесты оценивают только пилотные seed условия.
LOY-02,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,"Анкета, согласия и статусы ограничивают доступ",CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-03,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Обычная покупка и акция x3 считаются целыми minor units,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-04,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Повтор чека не даёт повторного начисления; изменённый конфликтует,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-05,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Частичный/полный возврат корректно сторнирует бонусы,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-06,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Параллельное получение наград не перерасходует баланс,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-07,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Pending переходит в available в заданный срок,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-08,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,QR не раскрывает DB ID/PII и сам не разрешает списание,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-09,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Уровни используют rolling period и возвраты,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
LOY-10,LOY,SHARED,подтверждённый сантехник; admin/POS для начисления,Нулевые/малые суммы и исключения считают точно,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/loyalty-extra.json; evidence/loyalty-integration.log,,LOCAL PostgreSQL / domain tests / MOCK Telegram. Ожидание14д моделировалось сдвигом available_at; не real POS и не mobile E2E.
