id,screen,source,role,access,required_states,web_observed,android,ios,evidence,defects,not_tested
S01,/choice,app/(auth)/choice.tsx,гость,redirect welcome,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-choice.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S02,/login,app/(auth)/login.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default; system dark (web only),BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-login.png;evidence/screenshots/extra-login-dark-system.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S03,/register,app/(auth)/register.tsx,гость: customer/plumber,"public, consent для plumber",обычное; loading; empty; error; retry; доступ; сохранение где применимо,default; invalid empty; plumber form,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-register.png;evidence/screenshots/register-validation.png;evidence/screenshots/extra-register-plumber.png,"D07,D08,D14",Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S04,/welcome,app/(auth)/welcome.tsx,гость,public,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-welcome.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S05,/cart,app/(tabs)/cart/index.tsx,все,локальная корзина; checkout требует auth,обычное; loading; empty; error; retry; доступ; сохранение где применимо,added from catalog; default; empty: attempted selector did not match; not a successful add. See extra-cart-real-add.; reload,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-cart.png;evidence/screenshots/customer-cart-populated.png;evidence/screenshots/extra-cart-real-add.png;evidence/screenshots/extra-cart-restored.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S06,/catalog,app/(tabs)/catalog/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,blocked local API; default; retry,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-catalog.png;evidence/screenshots/extra-catalog-network-error.png;evidence/screenshots/extra-catalog-retry.png,D12,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S07,/leads,app/(tabs)/leads/index.tsx,approved plumber,подтверждённая анкета,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/plumber-leads.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S08,/maps,app/(tabs)/maps/index.tsx,все,"public; карты скрыты из professional tab bar, direct route остаётся",обычное; loading; empty; error; retry; доступ; сохранение где применимо,430x932; default; second store,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-maps.png;evidence/screenshots/large-map.png;evidence/screenshots/extra-map-second-store.png,"D09,D10",Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S09,/orders,app/(tabs)/orders/index.tsx,покупатель/мастер,auth; гость видит призыв войти,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-orders.png;evidence/screenshots/customer-orders.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S10,/plumber-home,app/(tabs)/plumber-home/index.tsx,approved plumber,пять профессиональных tabs,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default; populated loyalty fixtures,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/plumber-plumber-home.png;evidence/screenshots/extra-plumber-home.png,,Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
S11,/profile,app/(tabs)/profile/index.tsx,все,auth показывает профиль; guest заглушка,обычное; loading; empty; error; retry; доступ; сохранение где применимо,default,BLOCKED: no release/device,BLOCKED: no release/device,evidence/screenshots/guest-profile.png;evidence/screenshots/customer-profile.png;evidence/screenshots/plumber-profile.png,"D06,D07",Нативные состояния/клавиатура/Back/жесты; полный state matrix не закрыт. Непоказанные роли/данные/ошибки не считаются PASS.
