id,domain,platform,role,expected,method,weight,weight_reason,status,evidence,defect_ids,limitation
UX-01,UX,SHARED,все,Есть доступный путь восстановления пароля,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/regression-suite.log; evidence/screenshots/guest-password-reset.png,,Серверный reset с bound proof и отзывом сессий; реальная доставка SMS — EX-01 BLOCKED.
UX-02,UX,WEB,все,"Селекты открываются, сохраняют выбор и закрываются в веб-компоненте",CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/ui-flows.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
UX-03,UX,WEB,все,Невалидные поля регистрации дают понятную ошибку,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/gallery.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
UX-04,UX,WEB,все,Гостевой каталог доступен без регистрации,CODE REVIEW / LOCAL API,3,Существенный пользовательский результат,PASS,evidence/gallery.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-01,CORE,SHARED,гость/покупатель; сантехник для заявок,Регистрация и вход работают на изолированной БД,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/regression-suite.log; evidence/http-security.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-02,CORE,SHARED,гость/покупатель; сантехник для заявок,Сервер изолирует чужие заказы,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/http-security.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-03,CORE,SHARED,гость/покупатель; сантехник для заявок,Заказ сохраняется и повторно читается с согласованным итогом,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/regression-suite.log; evidence/ui-flows.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-04,CORE,SHARED,гость/покупатель; сантехник для заявок,Повтор заказа с тем же ключом и содержимым не создаёт дубль,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/regression-suite.log; evidence/http-security.json,,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-05,CORE,SHARED,гость/покупатель; сантехник для заявок,Повтор ключа заказа с изменённым содержимым отклоняется,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,PASS,evidence/regression-suite.log; evidence/http-security.json,D05,Проверено указанным локальным/API/web/статическим методом; native physical/staging проверки учитываются отдельными строками и не закрыты этим результатом.
CORE-06,CORE,SHARED,гость/покупатель; сантехник для заявок,Каталог REAL API возвращает категории и товары,CODE REVIEW / LOCAL API,5,Критичный бизнес/release результат,FAIL,evidence/real-api-readonly.json; ../2026-09-18-340b960/evidence/catalog-snapshot.json,D12,Нет утверждённого наполнения ключевых SKU/категорий; локальный snapshot не исправляет REAL API.
